id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4413887,Zurich apartment,22911763,Greg,Kreis 8,Seefeld,47.36035,8.54788,Entire home/apt,,2,3,2015-03-06,0.02,1,0,0,
4425602,80 sqm. Your Urban Sanctuary. 10min to city centre,1006097,Franziska,Kreis 9,Altstetten,47.39234,8.4779,Entire home/apt,108,2,92,2024-11-30,0.77,1,358,11,
4425760,"Spacious, centrally located flat",2963607,Sandra,Kreis 6,Unterstrass,47.3901,8.53958,Entire home/apt,140,7,48,2024-12-28,0.39,1,127,10,
4460481,Cozy room & Sunny balcony in Zurich,12051025,Churyon,Kreis 9,Altstetten,47.38904,8.48716,Private room,63,3,123,2024-11-03,1.11,1,42,12,
4544512,1BR executive apartment Mainau 5,23561865,Dimi,Kreis 8,Seefeld,47.36025,8.54922,Entire home/apt,228,2,78,2024-12-25,0.67,115,35,27,
4666089,Modern & cosy room in the city center,2598633,Antonio,Kreis 5,Gewerbeschule,47.38573,8.52743,Private room,190,1,0,,,1,88,0,
4666318,"Bright and charming, in Zürich",3477312,Gisela,Kreis 3,Alt-Wiedikon,47.35997772216797,8.522051811218262,Entire home/apt,206,6,45,2024-07-13,0.39,1,358,3,
4748384,"1 Bedroom Serviced Apartment, Unterstrass",24506494,EMA House,Kreis 6,Unterstrass,47.38417,8.54212,Entire home/apt,287,2,18,2024-12-26,0.18,20,314,7,
4796892,Musiker-Unterkunft,21714165,Katie,Kreis 1,Rathaus,47.3714,8.54349,Private room,65,1,1104,2024-12-29,9.04,3,76,139,
4797373,Wirtewohnung,21714165,Katie,Kreis 1,Rathaus,47.3714,8.54349,Entire home/apt,224,1,474,2024-12-16,3.88,3,86,61,
4836907,Apartment in Zürich center,1372488,Jelisaveta Elizabeth,Kreis 5,Gewerbeschule,47.38692,8.52969,Entire home/apt,110,3,24,2023-10-01,0.20,1,83,0,
4850468,Cosy 3.5 room apartment in Zurich,720175,Patrick,Kreis 11,Seebach,47.42615,8.54844,Entire home/apt,174,5,1,2021-10-03,0.03,1,18,0,
4921250,charming flat in excellent location,25347589,Patricia,Kreis 6,Unterstrass,47.38637,8.54343,Entire home/apt,,3,87,2023-06-16,0.73,1,0,0,
5000434,fully furnished flat / nearby ETH + Airport + City,7926514,Ruben,Kreis 11,Affoltern,47.41972,8.51008,Entire home/apt,68,10,38,2024-09-30,0.33,1,240,3,
5055921,3BR city flat near Bellevue! SF6,23561865,Dimi,Kreis 8,Seefeld,47.36398,8.54873,Entire home/apt,356,2,102,2024-12-28,0.87,115,24,14,
5081849,"Neues, zentral gelegenes Studio mit Küche & Dusche",3595908,Peter,Kreis 4,Langstrasse,47.3797,8.53599,Entire home/apt,149,19,34,2024-09-10,0.96,1,151,7,
5168505,Double room 1 Top of Zurich,22404783,Silvia,Kreis 7,Witikon,47.35687,8.59781,Private room,95,2,179,2024-10-04,1.50,3,313,10,
5172569,Super comfy 20m2 Room in Zürich :],13576504,Jules,Kreis 11,Affoltern,47.41152,8.52673,Private room,58,5,25,2024-12-14,0.21,1,79,4,
5208392,"1-Bedroom Apartment, Nordstrasse",17484617,Marie,Kreis 6,Unterstrass,47.38368,8.53995,Entire home/apt,220,3,7,2022-05-01,0.06,24,0,0,
5209282,Charming studio / old town UZ12,23561865,Dimi,Kreis 1,Rathaus,47.3718,8.54541,Entire home/apt,209,2,211,2024-12-27,1.76,115,18,34,
5210463,"1-Bedroom Apartment Suite, Lindenstrasse",17484617,Marie,Kreis 8,Seefeld,47.35784,8.553,Entire home/apt,285,3,3,2019-09-08,0.04,24,0,0,
5267443,Family apartment in Zurich,3845079,Tilke,Kreis 4,Werd,47.37013,8.5263,Entire home/apt,,5,25,2024-08-10,0.22,1,0,3,
5307932,4 Zimmer Wohnung Kreis 2,27493420,Valeria,Kreis 2,Enge,47.3623,8.5273,Entire home/apt,,3,6,2022-10-22,0.05,1,0,0,
5343043,Cozy apartment next to river!,12282711,Ella,Kreis 10,Höngg,47.40108,8.49317,Entire home/apt,104,5,1,2023-04-12,0.05,1,178,0,
5349018,"1-Bedroom Apartment Suite, Kieselgasse",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,255,3,1,2016-10-19,0.01,24,0,0,
5349345,"1-Bedroom Apartment Suite, Kieselgasse",17484617,Marie,Kreis 8,Mühlebach,47.35578,8.55666,Entire home/apt,255,3,3,2023-06-30,0.10,24,0,0,
5350564,"Studio Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,155,3,16,2022-12-05,0.14,24,0,0,
5350881,"Studio Apartment, Forchstrasse",17484617,Marie,Kreis 7,Hirslanden,47.3605,8.56529,Entire home/apt,155,3,16,2020-01-06,0.14,24,0,0,
5352022,Schöne Wohnung in Zürich,12980091,Fabienne,Kreis 10,Höngg,47.40583,8.47929,Entire home/apt,,7,0,,,1,0,0,
5378507,Private room in Oerlikon,18128386,Alessandro,Kreis 11,Oerlikon,47.41072,8.54479,Private room,60,7,0,,,1,89,0,
5483148,Living & Homeoffice with absolutely dream views !,13570663,Christian Robert,Kreis 1,Rathaus,47.37382,8.54228,Entire home/apt,114,3,445,2024-12-23,3.73,40,348,40,
5609431,Cosy und ruhig,5247348,Cathy,Kreis 3,Alt-Wiedikon,47.36911,8.5086,Private room,,2,31,2023-08-27,0.27,1,0,0,
5687423,Great 2BR flat/ old town Niederdorf,23561865,Dimi,Kreis 1,Rathaus,47.37286,8.54384,Entire home/apt,241,2,231,2024-06-20,2.23,115,0,43,
5744466,"3,5r family flat &practical located",8287735,Fuwa,Kreis 11,Seebach,47.41815,8.55864,Entire home/apt,140,3,143,2024-12-21,1.22,1,304,15,
5779827,ZURICH CITY LOFT!,24041926,Claus,Kreis 2,Enge,47.35965,8.52389,Entire home/apt,330,3,82,2024-06-25,0.71,1,149,3,
6007128,"Sofa bed. Quiet, Safe, Clean",1371406,Jens,Kreis 11,Oerlikon,47.40464,8.55428,Private room,,2,94,2024-08-14,0.80,2,0,8,
6080762,"Charming, green & very close 2 city",22600456,Jana,Kreis 12,Hirzenbach,47.39872,8.58788,Entire home/apt,93,2,14,2019-07-28,0.12,1,243,0,
6099740,1BR apartment close to Bellevue (SF7),23561865,Dimi,Kreis 8,Mühlebach,47.36249,8.55061,Entire home/apt,195,2,102,2024-12-23,0.87,115,53,3,
6203434,Charmin Studio / old town UZ8,23561865,Dimi,Kreis 1,Rathaus,47.37079,8.54595,Entire home/apt,141,2,189,2024-12-20,1.65,115,15,3,
6293591,Cozy Studio for 3 with Roof terrace!,75558392,Filipa,Kreis 3,Alt-Wiedikon,47.36706,8.51947,Entire home/apt,124,1,487,2024-10-15,4.18,4,124,26,
6534203,Cosy and quiet studio close to city,32750738,Diana,Kreis 11,Affoltern,47.41322,8.52696,Entire home/apt,,3,65,2023-08-11,0.60,1,0,0,
6540490,Charming spacious bright & central!,34205281,Zoe,Kreis 7,Hottingen,47.37065,8.55371,Entire home/apt,120,3,32,2024-09-16,0.28,1,11,3,
6590086,einfaches Zimmer 1 Person / bei Anfrage 2,34472084,Räto,Kreis 9,Altstetten,47.38529,8.48208,Private room,,1,1,2024-07-11,0.17,1,0,1,
6669104,Exclusive Loft in Seefeld (Mühle),23561865,Dimi,Kreis 8,Mühlebach,47.35172,8.56133,Entire home/apt,179,3,41,2020-02-24,0.36,115,32,0,
6752793,Near University and ETH,24506658,Anka,Kreis 7,Fluntern,47.37905,8.55564,Private room,77,1,171,2024-12-13,1.48,1,73,32,
6857376,Attic Apartment Zurich City,34541936,Strahinja,Kreis 4,Hard,47.37792,8.51425,Entire home/apt,187,1,486,2024-12-24,5.62,11,48,52,
6858968,Cosy flat with home-office  in charming Seefeld,773469,Cécile,Kreis 8,Mühlebach,47.36555,8.54881,Entire home/apt,190,5,17,2024-09-25,0.15,1,358,1,
6862908,Maisonette flat / old town (UZ10),23561865,Dimi,Kreis 1,Rathaus,47.37285,8.54585,Entire home/apt,423,2,141,2024-12-22,1.55,115,23,54,
6996487,Comfortable Room in a Shared House,36591564,Daniela,Kreis 6,Oberstrass,47.39312,8.55122,Private room,600,3,0,,,1,365,0,
7232723,Luxury Apartment w Roof Top Terrace,5470758,Branca,Kreis 1,Hochschulen,47.37789,8.54338,Entire home/apt,350,3,9,2018-08-17,0.08,2,358,0,
7551201,Cosy place with spacious terrace,4895760,Johannes,Kreis 8,Mühlebach,47.35355,8.55998,Entire home/apt,,2,183,2024-12-15,1.62,1,0,14,
7589458,城市中心1号Oerlikon Bahnhof,39800475,Jun,Kreis 11,Oerlikon,47.41202,8.54668,Private room,65,1,199,2024-12-12,4.94,2,350,42,
7599396,"Big and comfortable flat, centrally located",9176822,Ferrat,Kreis 4,Hard,47.37571,8.517,Entire home/apt,210,6,13,2024-07-14,0.11,2,90,2,
7613086,苏黎世火车站2号Oerlikon  bahnhof,39800475,Jun,Kreis 11,Oerlikon,47.40874,8.54407,Private room,66,1,169,2024-11-27,1.48,2,356,32,
7646490,Brand New Cozy Loft,4387358,Mo & Angelika,Kreis 9,Altstetten,47.38479,8.49355,Entire home/apt,138,30,18,2019-11-04,0.16,3,365,0,
7673299,Stadt Zürich- freundliches Zimmer (2),19610180,Rossana,Kreis 9,Altstetten,47.38086,8.4819,Private room,50,30,70,2024-11-15,0.62,19,243,11,
7673510,Stadt Zürich-kleines Zimmer (1)  in Gästehaus,19610180,Rossana,Kreis 9,Altstetten,47.38002,8.48089,Private room,42,30,78,2024-11-30,0.68,19,295,6,
7726353,Beautiful & modern app - centre!,40598152,Patricia,Kreis 5,Escher Wyss,47.38771,8.51415,Entire home/apt,139,3,22,2024-09-20,0.21,1,331,9,
7737458,Garden Studio Apartment 2,40667302,Peter/Engin,Kreis 7,Fluntern,47.37749,8.56042,Entire home/apt,380,2,19,2023-09-30,0.17,14,363,0,
7739547,Garden Studio Apartment 1,40667302,Peter/Engin,Kreis 7,Fluntern,47.37895,8.55839,Entire home/apt,380,2,44,2024-07-19,0.39,14,295,1,
7741739,Zurlinden Studio Apartment 1,40667302,Peter/Engin,Kreis 4,Hard,47.37765,8.51169,Entire home/apt,500,5,8,2023-08-06,0.07,14,358,0,
7746167,"Big & comfi 25m2 private room, centrally located",9176822,Ferrat,Kreis 3,Sihlfeld,47.37398,8.51586,Private room,103,7,44,2024-09-29,0.39,2,90,1,
7756218,Room 4 Double room with a balcony,40667302,Peter/Engin,Kreis 7,Fluntern,47.37753,8.56021,Private room,150,1,23,2023-12-25,0.22,14,332,0,
7841685,Amazing oldtown location by Airhome,475053,James,Kreis 1,Rathaus,47.37137,8.54428,Entire home/apt,251,1,109,2024-12-08,0.96,14,360,13,
8093940,Room 9  Double room on Zuriberg Toblerplatz,40667302,Peter/Engin,Kreis 7,Fluntern,47.37745,8.55867,Private room,136,2,37,2024-08-04,0.35,14,304,1,
