id;last_scraped;name;host_id;host_url;host_name;host_since;host_location;host_response_time;host_response_rate;host_acceptance_rate;host_is_superhost;host_listings_count;host_total_listings_count;host_verifications;host_has_profile_pic;host_identity_verified;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;latitude;longitude;property_type;room_type;accommodates;bathrooms;bathrooms_text;bedrooms;beds;amenities;price;minimum_nights;maximum_nights;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;calendar_last_scraped;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;license;instant_bookable;calculated_host_listings_count;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms;reviews_per_month
620130;30.12.2024;NB1: Charming 2-room apartment;3072679;https://www.airbnb.com/users/show/3072679;Felix;27.07.2012;Zurich, Switzerland;N/A;N/A;N/A;f;5;5;['email', 'phone'];t;t;;Wipkingen;Kreis 10;47.39;8.53;Entire rental unit;Entire home/apt;4;1;1 bath;1;2;"[""Wifi"", ""Dishes and silverware"", ""Hot water"", ""Coffee maker"", ""Dryer"", ""Washer"", ""Heating"", ""Kitchen"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Refrigerator"", ""Backyard"", ""TV with standard cable"", ""Cooking basics""]";$185.00;3;1125;3;3;1125;1125;3;1125;;t;0;0;0;152;30.12.2024;25;0;0;01.05.2016;08.02.2020;4.84;4.92;4.88;5;4.92;4.96;4.72;;f;5;5;0;0;0.24
644888;30.12.2024;Big and bright duplex in the heart of Zurich;3228273;https://www.airbnb.com/users/show/3228273;Violetta;11.08.2012;Zürich, Switzerland;within a day;57%;0%;f;1;1;['email', 'phone'];t;t;Zurich, Canton of Zurich, Switzerland;Sihlfeld;Kreis 3;47.38;8.51;Private room in rental unit;Private room;4;2;2 shared baths;3;7;"[""Wifi"", ""Dishes and silverware"", ""Paid parking lot on premises"", ""Free dryer \u2013 In building"", ""Hot water kettle"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""High chair"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Outdoor furniture"", ""Kitchen"", ""Baking sheet"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Luggage dropoff allowed"", ""Paid street parking off premises"", ""Oven"", ""Waterfront"", ""BBQ grill"", ""Clothing storage: closet, wardrobe, and dresser"", ""Fire extinguisher"", ""Coffee maker"", ""Elevator"", ""Books and reading material"", ""Dedicated workspace"", ""Blender"", ""Private backyard \u2013 Not fully fenced"", ""Long term stays allowed"", ""Window guards"", ""Board games"", ""Free parking on premises"", ""Ethernet connection"", ""Hot water"", ""Dining table"", ""Room-darkening shades"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""First aid kit"", ""Freezer"", ""Paid washer \u2013 In building"", ""Coffee"", ""Pets allowed"", ""Cooking basics"", ""Fire pit""]";$90.00;4;14;4;4;14;14;4;14;;t;26;56;86;339;30.12.2024;16;0;0;01.10.2012;14.08.2023;4.8;4.87;4.8;4.93;4.8;4.67;4.73;;f;1;0;1;0;0.11
706972;30.12.2024;NB2: good value 1-room apartment;3072679;https://www.airbnb.com/users/show/3072679;Felix;27.07.2012;Zurich, Switzerland;N/A;N/A;N/A;f;5;5;['email', 'phone'];t;t;;Wipkingen;Kreis 10;47.39;8.53;Entire rental unit;Entire home/apt;2;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Hot water"", ""Coffee maker"", ""Dryer"", ""Washer"", ""Heating"", ""Kitchen"", ""Pets allowed"", ""Hair dryer"", ""Hangers"", ""Bed linens"", ""Essentials"", ""Refrigerator"", ""Stove"", ""TV with standard cable"", ""Cooking basics"", ""Iron""]";$134.00;3;1125;3;3;1125;1125;3;1125;;t;0;0;0;152;30.12.2024;8;0;0;05.10.2015;17.03.2020;4.88;4.63;4.88;5;4.75;4.88;4.13;;f;5;5;0;0;0.07
706997;30.12.2024;NB3: Beautiful 2-bedroom apartment;3072679;https://www.airbnb.com/users/show/3072679;Felix;27.07.2012;Zurich, Switzerland;N/A;N/A;N/A;f;5;5;['email', 'phone'];t;t;;Wipkingen;Kreis 10;47.39;8.53;Entire rental unit;Entire home/apt;4;1;1 bath;1;2;"[""Wifi"", ""Dishes and silverware"", ""Hot water"", ""Dryer"", ""Washer"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Stove"", ""TV with standard cable"", ""Cooking basics""]";$165.00;3;1125;3;3;1125;1125;3;1125;;t;0;0;0;152;30.12.2024;12;0;0;31.03.2013;31.05.2019;4;4.5;4.75;4.8;4.92;4.27;3.91;;f;5;5;0;0;0.08
743035;30.12.2024;Unique Home in the midst of Nature near Zuerich;3891818;https://www.airbnb.com/users/show/3891818;Jacqueline;16.10.2012;Zurich, Switzerland;within a few hours;100%;92%;f;2;3;['email', 'phone', 'work_email'];t;t;;Friesenberg;Kreis 3;47.35;8.49;Entire home;Entire home/apt;5;1;1 bath;1;4;"[""Wifi"", ""Courtyard view"", ""Dishes and silverware"", ""Shared outdoor kitchen"", ""Ceiling fan"", ""Hot water kettle"", ""Wine glasses"", ""EV charger"", ""Bathtub"", ""Hair dryer"", ""Patio or balcony"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Backyard"", ""Pack \u2019n play/Travel crib"", ""Iron"", ""Outdoor dining area"", ""Outdoor furniture"", ""Smoking allowed"", ""Private entrance"", ""Kitchen"", ""Rice maker"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Valley view"", ""Body soap"", ""Shared pool"", ""TV with standard cable"", ""Oven"", ""Standalone high chair"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Outdoor shower"", ""Fire extinguisher"", ""Indoor fireplace"", ""Washer"", ""Resort view"", ""Books and reading material"", ""Dedicated workspace"", ""Hammock"", ""Shower gel"", ""Shampoo"", ""Free dryer"", ""Free resort access"", ""Long term stays allowed"", ""Ethernet connection"", ""Hot water"", ""Garden view"", ""Laundromat nearby"", ""Toaster"", ""Extra pillows and blankets"", ""Clothing storage: closet"", ""Heating"", ""First aid kit"", ""Freezer"", ""Portable fans"", ""Pets allowed"", ""Cooking basics"", ""Coffee maker: pour-over coffee"", ""Fire pit""]";$250.00;2;1001;2;2;1001;1001;2;1001;;t;0;0;0;209;30.12.2024;109;8;0;28.06.2013;08.10.2024;4.38;4.38;4.12;4.7;4.7;4.57;4.18;;f;1;1;0;0;0.78
751660;30.12.2024;Entire flat in a trendy area;3952536;https://www.airbnb.com/users/show/3952536;Monica;23.10.2012;Zürich, Switzerland;N/A;N/A;N/A;f;1;2;['email', 'phone'];t;t;;Sihlfeld;Kreis 3;47.38;8.51;Entire rental unit;Entire home/apt;2;;1 bath;1;;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Paid parking off premises"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Stove"", ""Iron"", ""Kitchen"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Oven"", ""BBQ grill"", ""Paid parking on premises"", ""Coffee maker"", ""Elevator"", ""Washer"", ""Dedicated workspace"", ""Shampoo"", ""Ethernet connection"", ""Hot water"", ""Extra pillows and blankets"", ""Heating"", ""Private patio or balcony"", ""Cooking basics""]";;2;28;2;2;28;28;2;28;;t;0;0;0;0;30.12.2024;126;0;0;04.11.2012;20.05.2023;4.92;4.92;4.93;4.92;4.99;4.85;4.83;;f;1;1;0;0;0.85
815055;30.12.2024;Quiet room in Zürich 5min to center;3693420;https://www.airbnb.com/users/show/3693420;Nathalie;27.09.2012;Zurich, Switzerland;within a day;100%;0%;f;7;11;['email', 'phone'];t;t;;Wollishofen;Kreis 2;47.34;8.53;Private room in rental unit;Private room;1;1.5;1.5 baths;1;1;"[""Wifi"", ""Dishes and silverware"", ""Hot water"", ""Host greets you"", ""Dryer"", ""Washer"", ""Free street parking"", ""Heating"", ""Hair dryer"", ""Hangers"", ""Shampoo"", ""Essentials"", ""Cooking basics"", ""Iron"", ""Lock on bedroom door""]";$99.00;1;3;1;1;3;3;1;3;;t;30;60;90;90;30.12.2024;82;0;0;16.03.2013;03.07.2023;4.83;4.82;4.91;4.95;4.95;4.76;4.8;;f;1;0;1;0;0.57
816887;30.12.2024;Panoramic Views over Lake Zurich;1155866;https://www.airbnb.com/users/show/1155866;Ysabel;14.09.2011;Zurich, Switzerland;N/A;N/A;96%;f;2;3;['email', 'phone'];t;t;Zürich, Switzerland;Wollishofen;Kreis 2;47.34;8.54;Private room in home;Private room;2;1;1 private bath;1;1;"[""Wifi"", ""Dryer"", ""Hot water kettle"", ""Safe"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Essentials"", ""Refrigerator"", ""Backyard"", ""Iron"", ""Drying rack for clothing"", ""Outdoor dining area"", ""Kitchen"", ""Hangers"", ""Microwave"", ""Bed linens"", ""Boat slip"", ""Body soap"", ""Paid street parking off premises"", ""Oven"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Clothing storage"", ""Hammock"", ""Sea view"", ""Mountain view"", ""Shampoo"", ""Lake access"", ""Dining table"", ""Garden view"", ""Room-darkening shades"", ""Host greets you"", ""Kayak"", ""Extra pillows and blankets"", ""Heating"", ""Private patio or balcony"", ""Coffee"", ""Portable fans"", ""Smoke alarm"", ""Cooking basics"", ""Free street parking"", ""TV""]";$166.00;2;100;2;5;1125;1125;2.4;1125;;t;3;5;5;6;30.12.2024;38;0;0;04.11.2013;24.08.2023;4.47;4.53;4.25;4.53;4.57;4.6;4.44;;t;1;0;1;0;0.28
1002219;30.12.2024;Very central, large and luxurios;5441735;https://www.airbnb.com/users/show/5441735;Alain;13.03.2013;Zurich, Switzerland;within a day;100%;N/A;f;1;1;['email', 'phone'];t;t;Zurich, Canton of Zurich, Switzerland;Hottingen;Kreis 7;47.37;8.55;Entire condo;Entire home/apt;6;2;2 baths;3;4;"[""Wifi"", ""Dishes and silverware"", ""Dryer"", ""Hot water kettle"", ""Wine glasses"", ""Bathtub"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Iron"", ""Outdoor dining area"", ""Kitchen"", ""Baking sheet"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Body soap"", ""TV with standard cable"", ""Oven"", ""Washer"", ""Sound system"", ""Books and reading material"", ""Blender"", ""Shampoo"", ""Private BBQ grill: charcoal"", ""Hot water"", ""Dining table"", ""Room-darkening shades"", ""Host greets you"", ""Other electric stove"", ""Toaster"", ""Heating"", ""Private patio or balcony"", ""Cooking basics""]";$450.00;7;31;7;7;31;31;7;31;;t;0;0;0;30;30.12.2024;9;0;0;26.07.2013;27.07.2019;4.89;4.89;5;5;5;5;4.89;;f;1;1;0;0;0.06
1028631;30.12.2024;Architect’s loft seen in magazines, Zurich center.;1145413;https://www.airbnb.com/users/show/1145413;Jurgita;12.09.2011;Zürich, Switzerland;within a few hours;100%;100%;f;1;2;['email', 'phone'];t;t;Zurich, Canton of Zurich, Switzerland;Werd;Kreis 4;47.37;8.52;Entire loft;Entire home/apt;2;1;1 bath;1;1;"[""Wifi"", ""Dishes and silverware"", ""Free dryer \u2013 In building"", ""Hot water kettle"", ""Wine glasses"", ""Hair dryer"", ""Natural, eco-friendly, additive-free products. body soap"", ""Free washer \u2013 In building"", ""Essentials"", ""Refrigerator"", ""Electrolux electric stove"", ""Iron"", ""Drying rack for clothing"", ""Coffee maker: Nespresso"", ""Natural, eco-friendly, additive-free shampoo. shampoo"", ""Kitchen"", ""Trash compactor"", ""Baking sheet"", ""Cleaning products"", ""Hangers"", ""Bed linens"", ""Dishwasher"", ""Ultimate Ears Hyperboom Bluetooth sound system"", ""Paid street parking off premises"", ""Luggage dropoff allowed"", ""Oven"", ""BBQ grill"", ""Carbon monoxide alarm"", ""Books and reading material"", ""Shower gel"", ""Blender"", ""Lockbox"", ""Long term stays allowed"", ""Self check-in"", ""Shared patio or balcony"", ""Barbecue utensils"", ""Clothing storage: wardrobe"", ""Board games"", ""Hot water"", ""Dining table"", ""Room-darkening shades"", ""Ping pong table"", ""Laundromat nearby"", ""Extra pillows and blankets"", ""First aid kit"", ""Exercise equipment: free weights, yoga mat"", ""Freezer"", ""Central heating"", ""Coffee"", ""Shared backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Cleaning available during stay"", ""Portable air conditioning"", ""Cooking basics"", ""Natural, eco-friendly hair conditioner provided. conditioner""]";$426.00;4;30;4;4;1125;1125;4;1125;;t;12;24;54;54;30.12.2024;92;6;0;14.04.2013;06.10.2024;4.9;4.93;4.96;4.98;5;4.89;4.67;;f;1;1;0;0;0.65
